model,elpd_loo,safe_elpd_loo,elpd_diff,safe_elpd_diff,dse,safe_dse,elpd_diff_quantile,n_bad_k,n_vars
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(1)(p=5.0, 10)]",-81337.8025605061,-81330.70130216604,0.0,0.0,0.0,0.0,0.0,1,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(6)(p=2.5, 20)]",-81400.57232911662,-81334.53730973555,62.76976861052722,60.97724921247312,23.779989744877625,23.33612242498448,-0.06638278034833825,2,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(3)(p=5.0, 10)]",-81337.25164434253,-81337.25164434253,-0.5509161635740032,1.838940589799602,15.527098149475675,15.342073978024857,-0.04488492456446311,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(1)(p=2.5, 20)]",-81338.32604234289,-81338.32604234289,0.5234818368006859,1.9480263469323678,19.947645446309796,19.896710424993497,-0.06944279253765373,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(2)(p=5.0, 10)]",-81355.56815825497,-81342.91061461334,17.765597748873347,16.512497580317394,11.53308127581705,11.23644504478949,-0.030491309789092827,2,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]",-81348.8174492899,-81348.8174492899,11.014888783792445,12.930485505693381,18.24034628772171,18.13942719199683,-0.055180387584255544,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(3)(p=2.5, 20)]",-81354.08513932329,-81354.08513932329,16.28257881718214,17.985483752379196,22.20204887157945,22.13659114778868,-0.07270995434769816,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(5)(p=2.5, 20)]",-81388.69241768176,-81357.97485578917,50.88985717565711,53.892722798994704,23.25980470185219,23.16235235302906,-0.06793469491108688,1,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(2)(p=2.5, 20)]",-81359.04955521144,-81359.04955521144,21.24699470534633,22.763130568427705,20.37846291753515,20.321917088514777,-0.06913713110000332,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(0)(p=2.5, 20)]",-81365.85617310954,-81362.14894509155,28.05361260343767,28.693361951962927,24.519576036797076,24.466567444258885,-0.06862420338526753,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(6)(p=2.5, 5)]",-81369.59884459048,-81369.59884459048,31.79628408438191,35.021590265161876,44.574959665779645,44.45801938331434,-0.15230273466207012,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(5)(p=5.0, 10)]",-81371.86015704,-81371.86015704,34.057596533911806,35.78258666617058,18.635562251748794,18.555419419268617,-0.0560457031694977,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]",-81372.5372732824,-81372.5372732824,34.734712776303816,36.72348833806664,22.486405061444493,22.39815364899421,-0.06871217216030452,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(0)(p=5.0, 10)]",-81378.25176479339,-81378.25176479339,40.44920428727909,42.63269579484235,15.753822177630504,15.60153036628517,-0.03495641712294566,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_mean_p(6)(p=5.0, 10)]",-81383.85066457218,-81383.85066457218,46.048104066092925,47.97052283453088,20.19770068025463,20.105817997511025,-0.05653012670072749,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmean_log_p(6)(p=2.5, 5)]",-81385.56362657402,-81385.56362657402,47.76106606791343,50.89273567635087,43.172672800132496,43.05879122650889,-0.14577548318460318,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(3)(p=2.5, 20)]",-81392.66425905752,-81392.66425905752,54.86169855142343,56.65327954650804,20.782025234241203,20.704456459793438,-0.057707818736462003,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(5)(p=2.5, 5)]",-81394.52397539455,-81394.52397539455,56.72141488844109,59.98171548183949,34.04164413991036,33.884925650324966,-0.10605942831586149,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(1)(p=2.5, 20)]",-81416.07587110027,-81400.21795564577,78.27331059418378,74.48000818705923,19.714581619200594,18.67038548168543,-0.048124759752885285,1,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(4)(p=2.5, 20)]",-81404.8026386544,-81404.8026386544,67.00007814828695,68.77646467756216,23.66929086724773,23.602325475938887,-0.056867454866479546,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmean_log_p(5)(p=2.5, 5)]",-81408.63366454988,-81408.63366454988,70.8311040437684,74.05196606613158,31.979502261251714,31.81658759033038,-0.09659501714147362,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(0)(p=2.5, 20)]",-81411.39847658155,-81411.39847658155,73.59591607544823,75.6882466233116,19.546151435558166,19.433507713984348,-0.05299712192454607,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(2)(p=2.5, 20)]",-81417.68168392469,-81417.68168392469,79.87912341857728,82.06505338908624,20.175322987373885,20.056187866721075,-0.052281459940146054,0,3
